t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
0.0,0,,,,,,,,,,,,,,,,,,,,,,
0.2,6,,,,,,,,,,,,,,,,,,,,,,
0.233,7,,,,,,,,,,,,,,,,,,,,,,
0.267,8,,,,,,,,,,,,,,,,,,,,,,
0.3,9,,,,,,,,,,,,,,,,,,,,,,
0.333,10,,,,,,,,,,,,,,,,,,,,,,
0.367,11,,,,,,,,,,,,,,,,,,,,,,
1.033,31,,,,,,,,,,,,,,,,,,,,,,
1.133,34,,,,,,,,,,,,,,,,,,,,,,
1.167,35,,,,,,,,,,,,,,,,,,,,,,
1.2,36,,0.5903,0.5903,0.0,0.8212,0.5903,0.7188,,0.5903,,,,0.0,,,,,,,,,0.9896
1.267,38,,,,,,,,,,,,,,,,,,,,,,
1.3,39,,0.6042,0.6042,0.0,0.8475,0.6042,0.7129,,0.6042,,,,0.0,,,,,,,,,0.96
1.333,40,,0.6067,0.6067,0.0,0.8502,0.6067,0.7136,,0.6067,,,,0.0,,,,,,,,,0.9578
1.367,41,,0.6039,0.6039,0.0,0.8417,0.6039,0.7175,,0.6039,,,,0.0,,,,,,,,,0.9686
1.4,42,,0.5884,0.5884,0.0,0.8112,0.5884,0.7253,,0.5884,,,,0.0,,,,,,,,,1.0006
1.433,43,,0.5873,0.5873,0.0,0.8075,0.5873,0.7273,,0.5873,,,,0.0,,,,,,,,,1.0091
1.467,44,,0.5966,0.5966,-0.0,0.8219,0.5966,0.7259,,0.5966,,,,-0.0,,,,,,,,,1.0139
1.5,45,,0.6001,0.6001,0.0,0.8292,0.6001,0.7237,,0.6001,,,,0.0,,,,,,,,,1.0193
1.533,46,,0.6138,1.0462,-0.0,1.8862,1.0462,0.5547,1.0462,0.6138,,,,-0.0,,,,,,,,,0.7643
1.567,47,,0.6156,1.0487,0.0,1.892,1.0487,0.5543,1.0487,0.6156,,,,0.0,,,,,,,,,0.7711
1.6,48,,0.6176,1.0496,0.0,1.8918,1.0496,0.5548,1.0435,0.6176,,,,0.0,,,,,,,,,0.5726
1.633,49,,0.6148,1.0481,-0.0,1.8901,1.0481,0.5545,1.0354,0.6148,,,,-0.0,,,,,,,,,0.5662
1.667,50,,0.6144,1.0477,0.0,1.8883,1.0477,0.5548,1.0287,0.6144,,,,0.0,,,,,,,,,0.5578
1.7,51,,0.6168,1.0528,-0.0,1.9022,1.0528,0.5534,1.026,0.6168,,,,-0.0,,,,,,,,,0.5598
1.733,52,,0.7517,1.1618,0.0,2.0833,1.1618,0.5577,1.1328,0.7517,,,,0.1835,0.0,,,,,,,,0.6583
1.767,53,,0.757,1.1747,0.0,2.1178,1.1747,0.5547,1.1403,0.757,,,,0.1937,0.0,,,,,,,,0.6562
1.8,54,,0.7612,1.1816,-0.0,2.1341,1.1816,0.5536,1.1448,0.7612,,,,0.2018,-0.0,,,,,,,,0.6538
1.833,55,,0.1007,0.6958,-0.4498,1.9381,1.1457,0.5911,0.6123,0.1007,,,,-0.4498,,,,,,,,,0.5845
1.867,56,,0.1002,0.696,-0.4494,1.9404,1.1454,0.5903,0.6115,0.1002,,,,-0.4494,,,,,,,,,0.5849
1.9,57,,0.1001,0.6942,-0.4498,1.9371,1.144,0.5905,0.6093,0.1001,,,,-0.4498,,,,,,,,,0.5859
1.933,58,,0.0981,0.6921,-0.4554,1.939,1.1475,0.5918,0.6075,0.0981,,,,-0.4554,,,,,,,,,0.5846
1.967,59,,0.0959,0.6871,-0.4609,1.9339,1.148,0.5936,0.6056,0.0959,,,,-0.4609,,,,,,,,,0.582
2.0,60,,0.0917,0.679,-0.4701,1.9236,1.1491,0.5974,0.6067,0.0917,,,,-0.4701,,,,,,,,,0.5775
2.033,61,,0.085,0.6681,-0.4837,1.9091,1.1518,0.6033,0.6114,0.085,,,,-0.4837,,,,,,,,,0.5714
2.067,62,,0.0799,0.6553,-0.4985,1.8864,1.1538,0.6117,0.6076,0.0799,,,,-0.4985,,,,,,,,,0.5672
2.1,63,,0.63,1.0602,0.0,1.9107,1.0602,0.5549,1.0576,0.63,,,,0.0,,,,,,,,,0.5677
2.133,64,,0.6467,1.0815,-0.0,1.9641,1.0815,0.5506,1.0757,0.6467,,,,-0.0,,,,,,,,,0.5811
2.167,65,,0.6633,1.1127,0.0,2.0307,1.1127,0.5479,1.0922,0.6633,,,,0.0,,,,,,,,,0.602
2.2,66,,0.6844,1.1383,-0.0,2.0889,1.1383,0.5449,1.1116,0.6844,,,,-0.0,,,,,,,,,0.6305
2.233,67,,0.7044,1.0893,0.0,1.8965,1.0893,0.5744,1.0893,0.7044,,,,0.0,,,,,,,,,0.6461
2.267,68,,0.7172,1.1772,0.0,2.1714,1.1772,0.5422,1.1366,0.7172,,,,0.0,,,,,,,,,0.6644
