t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
0.0,0,,,,,,,,,,,,,,,,,,,,,,
0.033,1,,,,,,,,,,,,,,,,,,,,,,
0.067,2,,,,,,,,,,,,,,,,,,,,,,
0.1,3,,,,,,,,,,,,,,,,,,,,,,
0.133,4,,,,,,,,,,,,,,,,,,,,,,
0.167,5,,,,,,,,,,,,,,,,,,,,,,
0.2,6,,,,,,,,,,,,,,,,,,,,,,
0.233,7,,,,,,,,,,,,,,,,,,,,,,
0.3,9,,,,,,,,,,,,,,,,,,,,,,
0.333,10,,,,,,,,,,,,,,,,,,,,,,
0.367,11,,,,,,,,,,,,,,,,,,,,,,
0.4,12,,,,,,,,,,,,,,,,,,,,,,
0.467,14,,,,,,,,,,,,,,,,,,,,,,
0.5,15,,,,,,,,,,,,,,,,,,,,,,
0.533,16,,,,,,,,,,,,,,,,,,,,,,
0.567,17,,,,,,,,,,,,,,,,,,,,,,
0.6,18,,,,,,,,,,,,,,,,,,,,,,
0.667,20,,,,,,,,,,,,,,,,,,,,,,
0.7,21,,,,,,,,,,,,,,,,,,,,,,
0.767,23,,,,,,,,,,,,,,,,,,,,,,
0.8,24,,,,,,,,,,,,,,,,,,,,,,
0.867,26,,,,,,,,,,,,,,,,,,,,,,
0.9,27,,,,,,,,,,,,,,,,,,,,,,
0.933,28,,,,,,,,,,,,,,,,,,,,,,
0.967,29,,,,,,,,,,,,,,,,,,,,,,
1.0,30,,,,,,,,,,,,,,,,,,,,,,
1.033,31,,,,,,,,,,,,,,,,,,,,,,
1.067,32,,,,,,,,,,,,,,,,,,,,,,
1.1,33,,,,,,,,,,,,,,,,,,,,,,
1.133,34,,,,,,,,,,,,,,,,,,,,,,
1.167,35,,,,,,,,,,,,,,,,,,,,,,
1.2,36,,,,,,,,,,,,,,,,,,,,,,
1.233,37,,,,,,,,,,,,,,,,,,,,,,
1.267,38,,,,,,,,,,,,,,,,,,,,,,
1.3,39,,,,,,,,,,,,,,,,,,,,,,
1.333,40,,,,,,,,,,,,,,,,,,,,,,
1.367,41,,,,,,,,,,,,,,,,,,,,,,
1.4,42,,,,,,,,,,,,,,,,,,,,,,
1.467,44,,,,,,,,,,,,,,,,,,,,,,
1.5,45,,,,,,,,,,,,,,,,,,,,,,
1.533,46,,,,,,,,,,,,,,,,,,,,,,
1.567,47,,,,,,,,,,,,,,,,,,,,,,
1.6,48,,,,,,,,,,,,,,,,,,,,,,
1.633,49,,,,,,,,,,,,,,,,,,,,,,
1.667,50,,,,,,,,,,,,,,,,,,,,,,
1.7,51,,,,,,,,,,,,,,,,,,,,,,
1.733,52,,,,,,,,,,,,,,,,,,,,,,
1.767,53,,,,,,,,,,,,,,,,,,,,,,
1.8,54,,,,,,,,,,,,,,,,,,,,,,
1.833,55,,,,,,,,,,,,,,,,,,,,,,
1.867,56,,,,,,,,,,,,,,,,,,,,,,
1.9,57,,,,,,,,,,,,,,,,,,,,,,
1.933,58,,,,,,,,,,,,,,,,,,,,,,
1.967,59,,,,,,,,,,,,,,,,,,,,,,
2.0,60,,,,,,,,,,,,,,,,,,,,,,
2.033,61,,,,,,,,,,,,,,,,,,,,,,
2.067,62,,,,,,,,,,,,,,,,,,,,,,
2.1,63,,,,,,,,,,,,,,,,,,,,,,
2.133,64,,,,,,,,,,,,,,,,,,,,,,
2.167,65,,,,,,,,,,,,,,,,,,,,,,
2.2,66,,,,,,,,,,,,,,,,,,,,,,
2.233,67,,,,,,,,,,,,,,,,,,,,,,
2.267,68,,,,,,,,,,,,,,,,,,,,,,
2.3,69,,,,,,,,,,,,,,,,,,,,,,
2.333,70,,,,,,,,,,,,,,,,,,,,,,
2.367,71,,,,,,,,,,,,,,,,,,,,,,
2.4,72,,,,,,,,,,,,,,,,,,,,,,
2.433,73,,,,,,,,,,,,,,,,,,,,,,
2.467,74,,,,,,,,,,,,,,,,,,,,,,
2.5,75,,,,,,,,,,,,,,,,,,,,,,
2.533,76,,,,,,,,,,,,,,,,,,,,,,
2.567,77,,,,,,,,,,,,,,,,,,,,,,
2.6,78,,,,,,,,,,,,,,,,,,,,,,
2.633,79,,,,,,,,,,,,,,,,,,,,,,
2.667,80,,,,,,,,,,,,,,,,,,,,,,
2.7,81,,,,,,,,,,,,,,,,,,,,,,
2.733,82,,,,,,,,,,,,,,,,,,,,,,
2.767,83,,,,,,,,,,,,,,,,,,,,,,
2.8,84,,,,,,,,,,,,,,,,,,,,,,
2.833,85,,,,,,,,,,,,,,,,,,,,,,
2.867,86,,,,,,,,,,,,,,,,,,,,,,
2.9,87,,,,,,,,,,,,,,,,,,,,,,
2.933,88,,,,,,,,,,,,,,,,,,,,,,
2.967,89,,,,,,,,,,,,,,,,,,,,,,
3.0,90,,,,,,,,,,,,,,,,,,,,,,
3.033,91,,,,,,,,,,,,,,,,,,,,,,
3.067,92,,,,,,,,,,,,,,,,,,,,,,
3.1,93,,,,,,,,,,,,,,,,,,,,,,
3.133,94,,,,,,,,,,,,,,,,,,,,,,
3.167,95,,,,,,,,,,,,,,,,,,,,,,
3.2,96,,,,,,,,,,,,,,,,,,,,,,
3.233,97,,,,,,,,,,,,,,,,,,,,,,
3.267,98,,,,,,,,,,,,,,,,,,,,,,
3.3,99,,,,,,,,,,,,,,,,,,,,,,
3.333,100,,,,,,,,,,,,,,,,,,,,,,
3.367,101,,,,,,,,,,,,,,,,,,,,,,
3.4,102,,,,,,,,,,,,,,,,,,,,,,
3.433,103,,,,,,,,,,,,,,,,,,,,,,
3.467,104,,,,,,,,,,,,,,,,,,,,,,
3.5,105,,,,,,,,,,,,,,,,,,,,,,
3.533,106,,,,,,,,,,,,,,,,,,,,,,
3.567,107,,,,,,,,,,,,,,,,,,,,,,
3.6,108,,,,,,,,,,,,,,,,,,,,,,
3.633,109,,,,,,,,,,,,,,,,,,,,,,
3.667,110,,,,,,,,,,,,,,,,,,,,,,
3.7,111,,,,,,,,,,,,,,,,,,,,,,
3.733,112,,,,,,,,,,,,,,,,,,,,,,
3.767,113,,,,,,,,,,,,,,,,,,,,,,
3.8,114,,,,,,,,,,,,,,,,,,,,,,
3.833,115,,,,,,,,,,,,,,,,,,,,,,
3.867,116,,,,,,,,,,,,,,,,,,,,,,
3.9,117,,,,,,,,,,,,,,,,,,,,,,
3.933,118,,,,,,,,,,,,,,,,,,,,,,
3.967,119,,,,,,,,,,,,,,,,,,,,,,
4.0,120,,,,,,,,,,,,,,,,,,,,,,
4.033,121,,,,,,,,,,,,,,,,,,,,,,
4.067,122,,,,,,,,,,,,,,,,,,,,,,
4.1,123,,,,,,,,,,,,,,,,,,,,,,
4.133,124,,,,,,,,,,,,,,,,,,,,,,
4.167,125,,,,,,,,,,,,,,,,,,,,,,
4.2,126,,,,,,,,,,,,,,,,,,,,,,
4.233,127,,,,,,,,,,,,,,,,,,,,,,
4.267,128,,,,,,,,,,,,,,,,,,,,,,
4.3,129,,,,,,,,,,,,,,,,,,,,,,
4.333,130,,,,,,,,,,,,,,,,,,,,,,
4.367,131,,,,,,,,,,,,,,,,,,,,,,
4.4,132,,,,,,,,,,,,,,,,,,,,,,
4.433,133,,,,,,,,,,,,,,,,,,,,,,
