t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
0.333,10,,0.5004,0.7569,-0.1415,1.8482,0.8985,0.4861,0.6716,0.6187,0.3822,0.2297,0.0649,0.6138,0.5932,0.2894,0.2365,0.1525,0.1647,128.2141,116.6783,21.1273,1.8484
0.8,24,,,,,,,,,,,,,,,,,,,,,,
1.0,30,,,,,,,,,,,,,,,,,,,,,,
1.033,31,,0.0,0.2554,0.0,0.3433,0.2554,0.7441,0.2554,0.0,,,,,,,,,,,,,0.5015
1.067,32,,0.0,0.2648,0.0,0.3607,0.2648,0.7342,0.2648,0.0,,,,,,,,,,,,,0.4591
1.1,33,,0.0,0.2988,0.0,0.4198,0.2988,0.7118,0.2988,0.0,,,,,,,,,,,,,0.3901
1.133,34,,0.0,0.3327,0.0,0.4782,0.3327,0.6956,0.3327,0.0,,,,,,,,,,,,,0.3777
1.167,35,,,,,,,,,,,,,,,,,,,,,,
1.2,36,,0.0,0.3521,0.0,0.5365,0.3521,0.6564,0.3521,0.0,,,,,,,,,,,,,0.4951
1.233,37,,0.0,0.3509,0.0,0.5368,0.3509,0.6537,0.3509,0.0,,,,,,,,,,,,,0.5121
1.267,38,,0.021,0.3959,0.0,0.6376,0.3959,0.621,0.3959,0.021,,,,,,,,,,,,,0.8483
1.3,39,,0.0,0.4222,0.0,0.8248,0.4222,0.5119,0.4036,0.0,,,,,,,,,,,,,0.2862
1.333,40,,0.0683,0.503,0.0,0.8471,0.503,0.5939,0.503,0.0683,,,,,,,,,,,,,0.9901
1.367,41,,0.0798,0.5515,-0.0,0.9591,0.5515,0.5751,0.5515,0.0798,,,,,,,,,,,,,1.005
1.4,42,,0.0935,0.5867,0.0,1.0497,0.5867,0.559,0.5867,0.0935,,,,,,,,,,,,,0.9991
1.433,43,,0.0862,0.5916,0.0,1.0877,0.5916,0.5439,0.5916,0.0862,,,,,,,,,,,,,0.9478
1.467,44,,0.0921,0.5882,-0.3919,1.6574,0.9801,0.5914,0.5827,0.0921,,,,-0.3919,,,,,,,,,0.6753
1.5,45,,0.0869,0.5893,-0.3919,1.7443,0.9812,0.5625,0.5873,0.0869,,,,-0.3919,,,,,,,,,0.6522
1.533,46,,0.4544,0.9028,-0.0604,1.8251,0.9632,0.5278,0.8779,0.4544,,,,-0.0604,0.0,,,,,,,,0.6518
1.567,47,,0.524,0.9615,-0.0004,1.8903,0.9619,0.5089,0.932,0.524,,,,-0.0004,0.0,,,,,,,,0.6703
