t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
0.067,2,,-0.0,0.5062,-0.0,0.8329,0.5062,0.6077,0.5062,-0.0,,,,,,,,,,,,,0.7434
0.1,3,,0.0,0.5037,0.0,0.8291,0.5037,0.6076,0.5037,0.0,,,,,,,,,,,,,0.7377
0.133,4,,0.3797,0.8809,0.0,1.5502,0.8809,0.5682,0.8464,0.3797,,,,0.0,,,,,,,,,0.4893
0.167,5,,0.3985,0.8918,0.0,1.5678,0.8918,0.5689,0.8582,0.3985,,,,0.0,,,,,,,,,0.4888
0.2,6,,0.3734,0.8244,0.0,1.4598,0.8244,0.5647,0.8051,0.3734,,,,0.0,,,,,,,,,0.46
0.233,7,,0.4098,0.8585,0.0,1.5062,0.8585,0.57,0.8366,0.4098,,,,0.0,,,,,,,,,0.4786
0.267,8,,0.455,0.8921,0.0,1.5488,0.8921,0.576,0.8703,0.455,,,,0.0,,,,,,,,,0.5024
0.3,9,,0.4564,0.8989,0.0,1.5601,0.8989,0.5762,0.8745,0.4564,,,,0.0,,,,,,,,,0.5003
0.333,10,,0.4894,0.9183,-0.0,1.5809,0.9183,0.5809,0.8961,0.4894,,,,-0.0,,,,,,,,,0.5158
0.367,11,,0.5085,0.9299,0.0,1.5934,0.9299,0.5836,0.9079,0.5085,,,,0.0,,,,,,,,,0.5233
0.4,12,,0.5187,0.9324,0.0,1.5916,0.9324,0.5858,0.9129,0.5187,,,,0.0,,,,,,,,,0.5318
0.433,13,,0.5135,0.9281,0.0,1.5852,0.9281,0.5855,0.9079,0.5135,,,,0.0,,,,,,,,,0.527
0.467,14,,0.4916,0.9183,0.0,1.5751,0.9183,0.583,0.8947,0.4916,,,,0.0,,,,,,,,,0.5111
0.5,15,,0.0604,0.529,-0.4093,1.5685,0.9383,0.5982,0.5283,0.0604,,,,-0.4093,,,,,,,,,0.5585
0.533,16,,0.0602,0.5294,-0.415,1.5702,0.9445,0.6015,0.5286,0.0602,,,,-0.415,,,,,,,,,0.5598
0.567,17,,0.0605,0.5293,-0.4194,1.5684,0.9487,0.6049,0.528,0.0605,,,,-0.4194,,,,,,,,,0.5613
0.6,18,,0.4901,0.9149,0.0,1.5659,0.9149,0.5842,0.8916,0.4901,,,,0.0,,,,,,,,,0.5212
0.633,19,,0.4803,0.8607,-0.0,1.3872,0.8607,0.6205,0.8607,0.4803,,,,-0.0,,,,,,,,,0.8239
0.667,20,,0.4701,0.8546,0.0,1.3753,0.8546,0.6214,0.8546,0.4701,,,,0.0,,,,,,,,,0.8153
0.7,21,,0.05,0.5198,-0.3942,1.3679,0.914,0.6682,0.5198,0.05,,,,-0.3942,,,,,,,,,0.6152
0.733,22,,0.4596,0.851,0.0,1.3686,0.851,0.6218,0.851,0.4596,,,,0.0,,,,,,,,,0.8152
0.767,23,,0.0377,0.5121,-0.402,1.3702,0.9141,0.6671,0.5121,0.0377,,,,-0.402,,,,,,,,,0.6002
0.8,24,,0.4537,0.85,0.0,1.3684,0.85,0.6211,0.85,0.4537,,,,0.0,,,,,,,,,0.7936
0.833,25,,0.0214,0.4801,-0.456,1.3825,0.9361,0.6771,0.4801,0.0214,,,,-0.456,,,,,,,,,0.555
0.867,26,,0.0154,0.4703,-0.4875,1.401,0.9579,0.6837,0.4703,0.0154,,,,-0.4875,,,,,,,,,0.5391
0.9,27,,0.0149,0.4725,-0.5026,1.421,0.9751,0.6862,0.4725,0.0149,,,,-0.5026,,,,,,,,,0.5358
0.933,28,,0.551,0.894,0.0,1.444,0.894,0.6191,0.894,0.551,,,,0.0,,,,,,,,,0.5306
0.967,29,,0.5658,0.9116,-0.0,1.4747,0.9116,0.6182,0.9116,0.5658,,,,-0.0,,,,,,,,,0.5383
1.0,30,,0.5792,0.9304,0.0,1.5081,0.9304,0.617,0.9304,0.5792,,,,0.0,,,,,,,,,0.5484
1.033,31,,0.5942,0.9551,-0.0,1.5531,0.9551,0.615,0.9551,0.5942,,,,-0.0,,,,,,,,,0.5642
1.067,32,,0.6053,0.9714,0.0,1.5828,0.9714,0.6137,0.9714,0.6053,,,,0.0,,,,,,,,,0.5747
1.1,33,,0.6274,0.9874,0.0,1.6073,0.9874,0.6143,0.9874,0.6274,,,,0.0,,,,,,,,,0.5789
1.133,34,,0.6366,1.0002,0.0,1.6297,1.0002,0.6137,1.0002,0.6366,,,,0.0,,,,,,,,,0.5816
1.167,35,,0.653,1.0151,0.0,1.6536,1.0151,0.6139,1.0151,0.653,,,,0.0,,,,,,,,,0.5873
1.2,36,,0.6688,1.0244,0.0,1.6625,1.0244,0.6162,1.0244,0.6688,,,,0.0,,,,,,,,,0.5933
1.233,37,,0.6851,1.0406,0.0,1.6897,1.0406,0.6159,1.0406,0.6851,,,,0.0,,,,,,,,,0.6028
1.267,38,,0.7032,1.0426,0.0,1.6812,1.0426,0.6202,1.0426,0.7032,,,,0.0,,,,,,,,,0.611
1.3,39,,0.7231,1.0506,-0.0,1.6898,1.0506,0.6217,1.0506,0.7231,,,,-0.0,,,,,,,,,0.6169
1.333,40,,0.7353,1.1585,0.0,2.0091,1.1585,0.5766,1.1081,0.7353,,,,0.0,,,,,,,,,0.6273
