t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
2.3,69,,0.4482,0.4482,-0.0,0.6745,0.4482,0.6645,,0.4482,,,,-0.0,,,,,,,,,0.6755
2.333,70,,0.4136,0.4136,0.0,0.6265,0.4136,0.6602,,0.4136,,,,0.0,,,,,,,,,0.557
2.367,71,,0.3005,0.6011,0.0,0.8595,0.6011,0.6993,,0.6011,0.0,,,0.2117,,,0.6011,,,,,33.5191,1.1801
2.4,72,,0.4189,0.7989,-0.0,1.477,0.7989,0.5409,0.7989,0.4189,,,,-0.0,,,,,,,,,0.5685
2.433,73,,0.4121,0.7961,0.0,1.4687,0.7961,0.542,0.7961,0.4121,,,,0.0,,,,,,,,,0.5736
2.467,74,,0.3999,0.795,0.0,1.4614,0.795,0.544,0.795,0.3999,,,,0.0,,,,,,,,,0.5954
2.5,75,,0.3753,0.7854,-0.0,1.435,0.7854,0.5473,0.7854,0.3753,,,,-0.0,,,,,,,,,0.609
2.533,76,,0.3531,0.7725,0.0,1.3953,0.7725,0.5537,0.7725,0.3531,,,,0.0,,,,,,,,,0.6435
2.567,77,,0.3337,0.756,0.0,1.3522,0.756,0.5591,0.756,0.3337,,,,0.0,0.535,,,,,,,,0.6646
2.6,78,,0.3152,0.741,0.0,1.3163,0.741,0.5629,0.741,0.3152,,,,0.0,0.5592,,,,,,,,0.6616
2.633,79,,-0.0544,0.3837,-0.3832,1.282,0.767,0.5983,0.3837,-0.0544,,,,-0.3832,0.2315,,,,,,,,0.4595
2.667,80,,-0.0713,0.3631,-0.396,1.2732,0.7591,0.5963,0.3631,-0.0713,,,,-0.396,0.2247,,,,,,,,0.4311
2.7,81,,-0.0783,0.3614,-0.3963,1.2802,0.7577,0.5919,0.3614,-0.0783,,,,-0.3963,0.2041,,,,,,,,0.4196
2.733,82,,-0.0855,0.3652,-0.4067,1.3162,0.7719,0.5865,0.3652,-0.0855,,,,-0.4067,0.1941,,,,,,,,0.4073
2.767,83,,-0.098,0.3549,-0.4463,1.3429,0.8012,0.5966,0.3549,-0.098,,,,-0.4463,0.1479,,,,,,,,0.3907
2.8,84,,0.5345,0.8297,0.0,1.4441,0.8297,0.5746,0.8297,0.5345,,,,0.0,0.5921,,,,,,,,0.3763
