t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
1.3,39,,-0.141,0.0559,-0.387,0.9426,0.4429,0.4698,0.0559,-0.141,,,,,-0.387,,,,,,,,0.2098
1.333,40,,-0.1314,0.0719,-0.4185,1.1266,0.4904,0.4353,0.0719,-0.1314,,,,-0.4185,,,,,,,,,0.1852
1.367,41,,-0.1136,0.1047,-0.407,1.1032,0.5117,0.4638,0.1047,-0.1136,,,,-0.407,,,,,,,,,0.2104
1.4,42,,-0.0873,0.1583,-0.3904,1.0729,0.5487,0.5114,0.1583,-0.0873,,,,-0.3904,,,,,,,,,0.2508
1.433,43,,-0.0663,0.203,-0.387,1.0635,0.59,0.5547,0.203,-0.0663,,,,-0.387,,,,,,,,,0.2865
1.467,44,,-0.0506,0.2411,-0.3843,1.0598,0.6255,0.5902,0.2411,-0.0506,,,,-0.3843,,,,,,,,,0.3158
1.5,45,,-0.0391,0.272,-0.3911,1.0664,0.6631,0.6218,0.272,-0.0391,,,,-0.3911,,,,,,,,,0.3409
1.533,46,,-0.0323,0.3068,-0.4091,1.102,0.7159,0.6496,0.3068,-0.0323,,,,-0.4091,,,,,,,,,0.3671
1.567,47,,-0.0275,0.3299,-0.4464,1.1597,0.7763,0.6694,0.3299,-0.0275,,,,-0.4464,,,,,,,,,0.384
1.6,48,,-0.0406,0.3406,-0.0811,0.6934,0.4217,0.6082,0.3406,-0.0406,,,,,,,,,,,,,0.6133
1.633,49,,-0.0441,0.3547,-0.0881,0.723,0.4428,0.6124,0.3547,-0.0441,,,,,,,,,,,,,0.6111
1.667,50,,0.6264,0.9058,0.0,1.3544,0.9058,0.6688,0.9058,0.6264,,,,0.0,,,,,,,,,0.4825
1.7,51,,0.6502,0.94,0.0,1.4314,0.94,0.6567,0.94,0.6502,,,,0.0,,,,,,,,,0.5275
1.733,52,,0.6778,0.9722,0.0,1.5094,0.9722,0.6441,0.9722,0.6778,,,,0.0,,,,,,,,,0.5638
1.767,53,,0.7096,0.999,0.0,1.5831,0.999,0.631,0.999,0.7096,,,,0.0,,,,,,,,,0.5981
1.8,54,,0.7269,1.0217,0.0,1.6613,1.0217,0.615,1.0217,0.7269,,,,0.0,,,,,,,,,0.6217
1.833,55,,0.7352,1.0337,0.0,1.7215,1.0337,0.6005,1.0337,0.7352,,,,0.0,,,,,,,,,0.6326
1.867,56,,0.7439,1.0484,-0.0,1.7786,1.0484,0.5894,1.0484,0.7439,,,,-0.0,,,,,,,,,0.6506
1.9,57,,0.7425,1.0515,-0.0,1.8151,1.0515,0.5793,1.0515,0.7425,,,,-0.0,,,,,,,,,0.6547
1.933,58,,0.8855,1.1711,0.0,2.0445,1.1711,0.5728,1.1711,0.8855,,,,0.1988,0.0,,,,,,,,0.7298
1.967,59,,0.4274,0.8479,-0.484,2.3074,1.3319,0.5772,0.8393,0.4274,,,,-0.1127,-0.484,,,,,,,,0.7133
2.0,60,,0.9239,1.2066,0.0,2.1346,1.2066,0.5653,1.2066,0.9239,,,,0.4926,0.0,,,,,,,,0.7499
2.033,61,,0.9299,1.2758,0.0,2.3727,1.2758,0.5377,1.2438,0.9299,,,,0.4885,0.0,,,,,,,,0.7787
2.067,62,,0.9406,1.222,-0.0,2.1771,1.222,0.5613,1.222,0.9406,,,,0.4841,-0.0,,,,,,,,0.808
2.1,63,,0.9517,1.2856,0.0,2.3999,1.2856,0.5357,1.255,0.9517,,,,0.4859,0.0,,,,,,,,0.8248
2.133,64,,0.9576,1.2934,0.0,2.4269,1.2934,0.5329,1.2605,0.9576,,,,0.4844,0.0,,,,,,,,0.8419
2.167,65,,0.9577,1.3026,0.0,2.459,1.3026,0.5297,1.2663,0.9577,,,,0.4887,0.0,,,,,,,,0.8643
2.2,66,,0.6129,1.3001,0.0,2.4464,1.3001,0.5314,1.2635,0.9602,0.2657,,,0.4989,0.0,0.9978,0.6945,,,,,6.8759,0.8722
2.233,67,,0.1926,1.0318,-0.3535,2.4347,1.3853,0.569,1.0129,0.6396,-0.2543,,,0.0597,-0.1767,1.2672,0.8939,,,,,4.5713,0.8797
2.267,68,,0.2106,1.0398,-0.3337,2.4177,1.3735,0.5681,1.019,0.6593,-0.2381,,,0.0964,-0.1669,1.2571,0.8973,,,,,2.6818,0.8875
2.3,69,,0.5047,1.2183,-0.0904,2.3973,1.3086,0.5459,1.1824,0.8837,0.1257,,,0.4169,0.1577,1.0568,0.758,,,,,0.6526,0.8991
2.333,70,,0.5059,1.2263,-0.0847,2.4157,1.3109,0.5427,1.1853,0.8865,0.1252,,,0.4307,0.1533,1.06,0.7613,,,,,1.0139,0.9205
2.367,71,,0.5072,1.2239,-0.0865,2.4022,1.3104,0.5455,1.1809,0.8889,0.1255,,,0.436,0.1391,1.0555,0.7634,,,,,2.3148,0.9373
2.4,72,,0.5073,1.1321,-0.0843,2.035,1.2164,0.5978,1.1321,0.8895,0.1251,,,0.4393,0.1401,1.007,0.7643,,,,,3.3718,0.9094
2.433,73,,0.5112,1.2239,-0.0716,2.3683,1.2955,0.547,1.1807,0.8982,0.1241,,,0.4517,0.1618,1.0566,0.7741,,,,,3.4129,0.9917
2.467,74,,0.5096,1.1329,-0.0717,2.0104,1.2046,0.5992,1.1329,0.8965,0.1228,,,0.4559,0.1735,1.0101,0.7737,,,,,4.4254,0.9663
2.5,75,,0.5084,1.1301,-0.0719,1.9981,1.2019,0.6016,1.1301,0.8964,0.1204,,,0.4575,0.1922,1.0097,0.7759,,,,,4.6783,0.9981
2.533,76,,0.5069,1.1271,-0.0754,1.99,1.2025,0.6043,1.1271,0.8956,0.1181,,,0.458,0.2013,1.009,0.7775,,,,,5.1245,1.0295
2.567,77,,0.5051,1.1229,-0.0811,1.9824,1.204,0.6074,1.1229,0.8938,0.1163,,,0.4568,0.2117,1.0066,0.7775,,,,,5.8785,1.055
2.6,78,,0.5036,1.1196,-0.0853,1.9756,1.2049,0.6099,1.1196,0.8913,0.1158,,,0.4563,0.2192,1.0038,0.7756,,,,,6.427,1.079
2.633,79,,0.6052,1.1639,-0.0,1.9722,1.1639,0.5901,1.1639,0.9619,0.2484,,,0.5554,0.3184,0.9154,0.7135,,,,,6.8801,1.1038
2.667,80,,0.6096,1.1682,0.0,1.9903,1.1682,0.5869,1.1659,0.9661,0.253,,,0.5607,0.3348,0.9129,0.7131,,,,,7.4787,1.1413
2.7,81,,0.6096,1.1747,0.0,2.0104,1.1747,0.5843,1.1658,0.9666,0.2526,,,0.5551,0.3429,0.9132,0.714,,,,,7.642,1.1732
2.733,82,,0.6049,1.1796,0.0,2.0312,1.1796,0.5807,1.1627,0.9643,0.2455,,,0.5427,0.3427,0.9172,0.7188,,,,,7.6894,1.2001
2.767,83,,0.5192,1.128,0.0,1.9611,1.128,0.5752,1.124,0.908,0.1304,,,0.4501,0.6139,0.9936,0.7777,,,,,6.6808,1.2424
2.8,84,,0.5267,1.1439,-0.0116,2.0671,1.1555,0.559,1.1292,0.9186,0.1348,,,0.4577,0.297,0.9944,0.7838,,,,,5.616,1.2055
2.833,85,,0.5311,1.1526,0.0,2.0621,1.1526,0.559,1.1343,0.925,0.1372,,,0.4642,0.3154,0.9971,0.7878,,,,,5.0285,1.1854
2.867,86,,0.5331,1.1568,0.0,2.0371,1.1568,0.5679,1.1429,0.9319,0.1342,,,0.4771,0.3377,1.0087,0.7977,,,,,3.8663,1.1813
2.9,87,,0.5353,1.1586,0.0,2.01,1.1586,0.5764,1.153,0.9391,0.1314,,,0.4867,0.3631,1.0216,0.8077,,,,,2.9919,1.1974
2.933,88,,0.5368,1.1744,0.0,2.055,1.1744,0.5715,1.1744,0.949,0.1245,,,0.5024,0.3887,1.0499,0.8246,,,,,3.1521,1.2431
2.967,89,,0.5391,1.1971,0.0,2.1225,1.1971,0.564,1.1971,0.9607,0.1176,,,0.5184,0.3919,1.0795,0.8431,,,,,3.1885,1.2913
3.0,90,,0.5404,1.2188,-0.0,2.1965,1.2188,0.5549,1.2188,0.9686,0.1121,,,0.5227,0.3901,1.1067,0.8565,,,,,3.6101,1.3488
3.033,91,,0.5457,1.2358,-0.0,2.2637,1.2358,0.5459,1.2358,0.9792,0.1122,,,0.5357,0.3764,1.1237,0.867,,,,,3.5883,1.3798
3.067,92,,0.5468,1.2472,0.0,2.3295,1.2472,0.5354,1.2472,0.9811,0.1124,,,0.5411,0.351,1.1348,0.8687,,,,,3.4611,1.4105
3.1,93,,0.5398,1.2577,0.0,2.406,1.2577,0.5227,1.2577,0.9816,0.098,,,0.5444,0.3253,1.1598,0.8836,,,,,2.7873,1.4338
3.133,94,,0.532,1.2698,-0.0,2.4926,1.2698,0.5094,1.2698,0.9792,0.0849,,,0.5374,0.292,1.1849,0.8943,,,,,2.4124,1.4587
3.167,95,,0.5267,1.2749,0.0,2.5507,1.2749,0.4998,1.2749,0.9768,0.0765,,,0.528,0.2785,1.1984,0.9003,,,,,1.7612,1.4644
3.2,96,,0.5287,1.2873,-0.0,2.6158,1.2873,0.4921,1.2873,0.9857,0.0718,,,0.531,0.281,1.2155,0.9139,,,,,0.8423,1.4587
3.233,97,,0.54,1.3106,0.0,2.7007,1.3106,0.4853,1.3106,1.008,0.072,,,0.557,0.3177,1.2386,0.936,,,,,0.1752,1.4797
3.267,98,,0.5447,1.3138,0.0,2.7269,1.3138,0.4818,1.3138,1.0164,0.0729,,,0.5686,0.3323,1.2409,0.9436,,,,,0.9024,1.5017
3.3,99,,0.7383,1.4314,0.0,2.9991,1.4314,0.4773,1.4314,1.1648,0.3118,0.0,,0.7567,0.5509,1.1196,0.853,0.3118,,,162.9803,1.3602,1.7833
3.333,100,,0.8202,1.4569,0.0,3.0536,1.4569,0.4771,1.4569,1.2109,0.4295,0.0506,,0.8256,0.6205,1.0274,0.7815,0.3788,,,151.6526,1.4446,1.8663
3.367,101,,0.7749,1.4415,0.0,3.0571,1.4415,0.4715,1.4415,1.1751,0.3746,0.0088,,0.7801,0.4127,1.0669,0.8005,0.3659,,,147.7856,1.3946,1.9728
3.4,102,,0.7966,1.4465,0.0,3.0804,1.4465,0.4696,1.4465,1.1845,0.4087,0.0367,,0.7808,0.6245,1.0378,0.7758,0.372,,,146.865,1.2785,1.9823
3.433,103,,0.8077,1.4462,0.0,3.0859,1.4462,0.4687,1.4462,1.1865,0.4288,0.0626,,0.7814,0.4064,1.0174,0.7576,0.3663,,,143.6969,0.4451,1.9486
3.467,104,,0.8061,1.4407,-0.0,3.0792,1.4407,0.4679,1.4407,1.1847,0.4274,0.0816,,0.769,0.611,1.0133,0.7573,0.3458,,,141.3169,0.0724,1.9177
3.5,105,,0.803,1.4387,0.0,3.0852,1.4387,0.4663,1.4387,1.1855,0.4205,0.0928,,0.7763,0.3783,1.0181,0.765,0.3278,,,140.7772,0.7528,2.1196
3.533,106,,0.805,1.434,0.0,3.0822,1.434,0.4653,1.434,1.1832,0.4268,0.0981,,0.7763,0.6069,1.0072,0.7563,0.3287,,,139.9413,2.0784,2.1788
3.567,107,,0.8162,1.4381,0.0,3.1013,1.4381,0.4637,1.4381,1.1926,0.4399,0.1077,,0.8115,0.3513,0.9982,0.7527,0.3322,,,140.9497,3.1627,2.3485
3.6,108,,0.8382,1.4504,0.0,3.1476,1.4504,0.4608,1.4504,1.2077,0.4686,0.1004,,0.842,0.3583,0.9817,0.739,0.3683,,,146.97,3.4877,2.5459
3.633,109,,0.8526,1.4616,-0.0,3.1863,1.4616,0.4587,1.4616,1.2227,0.4824,0.057,,0.8545,0.3636,0.9792,0.7403,0.4254,,,154.5041,3.5049,2.6381
3.667,110,,0.8634,1.4675,0.0,3.2076,1.4675,0.4575,1.4675,1.2312,0.4955,0.0265,,0.8652,0.3623,0.972,0.7356,0.4691,,,159.3546,3.9326,2.7707
3.7,111,,0.8999,1.4706,0.0,3.2639,1.4706,0.4506,1.4575,1.2502,0.5496,0.04,,0.8959,0.3454,0.9078,0.7006,0.5096,,,161.3176,4.8094,2.7626
3.733,112,,0.9126,1.4742,-0.0,3.2568,1.4742,0.4527,1.4616,1.2551,0.5701,0.0504,,0.9057,0.7042,0.8915,0.685,0.5197,,,162.3366,5.6948,2.7129
3.767,113,,0.9251,1.4785,-0.0,3.249,1.4785,0.4551,1.4618,1.2583,0.5919,0.0639,,0.9125,0.7051,0.8699,0.6664,0.528,,,162.894,6.4624,2.6833
