t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
0.033,1,,0.5013,0.8382,-0.0,1.569,0.8382,0.5342,0.8382,0.5013,,,,-0.0,,,,,,,,,0.6134
0.067,2,,0.5215,0.8746,-0.0,1.6457,0.8746,0.5315,0.8746,0.5215,,,,-0.0,,,,,,,,,0.6723
0.1,3,,0.1312,0.6207,-0.257,1.7156,0.8777,0.5116,0.5979,0.1312,,,,-0.257,,,,,,,,,0.5865
0.133,4,,0.1317,0.6203,-0.2512,1.7013,0.8715,0.5123,0.5968,0.1317,,,,-0.2512,,,,,,,,,0.5912
0.167,5,,0.1326,0.6195,-0.2421,1.6159,0.8616,0.5332,0.6195,0.1326,,,,-0.2421,,,,,,,,,0.6487
0.2,6,,0.4818,0.8381,0.0,1.5805,0.8381,0.5303,0.8381,0.4818,,,,0.0,,,,,,,,,0.6805
0.233,7,,0.1281,0.6129,-0.2089,1.5621,0.8218,0.5261,0.6129,0.1281,,,,-0.2089,,,,,,,,,0.6528
0.267,8,,0.1217,0.6045,-0.2131,1.5516,0.8176,0.527,0.6045,0.1217,,,,-0.2131,,,,,,,,,0.6459
0.3,9,,0.4468,0.812,0.0,1.5362,0.812,0.5286,0.812,0.4468,,,,0.0,,,,,,,,,0.6757
0.333,10,,0.4437,0.8127,0.0,1.5384,0.8127,0.5283,0.8127,0.4437,,,,0.0,,,,,,,,,0.6797
0.367,11,,0.0894,0.559,-0.2733,1.5425,0.8324,0.5396,0.559,0.0894,,,,-0.2733,,,,,,,,,0.6006
0.4,12,,0.4459,0.818,0.0,1.5478,0.818,0.5285,0.818,0.4459,,,,0.0,,,,,,,,,0.6834
0.433,13,,0.0666,0.5235,-0.335,1.5511,0.8585,0.5535,0.5235,0.0666,,,,-0.335,,,,,,,,,0.5607
