t,frame,posture,h_torso,h_max,h_min,floor_spread,vertical_extent,compactness,h_head,h_shoulder,h_hip,h_knee,h_ankle,h_elbow,h_wrist,head_above_hip,shoulder_above_hip,hip_above_knee,knee_above_ankle,knee_angle,hip_angle,torso_tilt,bbox_aspect
6.333,190,,0.2801,0.5393,0.08,0.6794,0.4593,0.6761,0.5393,0.2801,,0.3383,0.08,,,,,,0.2583,,,,0.3364
6.367,191,,-0.2303,-0.0,-0.2303,0.6393,0.2303,0.3602,-0.0005,-0.2303,,,,,,,,,,,,,0.2076
6.4,192,,-0.0523,0.1073,-0.1046,0.6375,0.2119,0.3324,0.1054,-0.0523,,,,,,,,,,,,,0.3314
6.433,193,,-0.014,0.1726,-0.0279,0.6315,0.2005,0.3175,0.1573,-0.014,,,,,,,,,,,,,0.39
6.467,194,,0.0208,0.1838,-0.0,0.6301,0.1838,0.2916,0.1838,0.0208,,,,,,,,,,,,,0.3899
6.5,195,,0.0439,0.4823,0.0,0.7422,0.4823,0.6498,0.359,0.0439,,,,,,,,,,,,,0.7592
6.533,196,,0.0657,0.5943,0.0,0.937,0.5943,0.6342,0.4383,0.0657,,,,,,,,,,,,,0.9089
6.567,197,,0.0899,0.5973,0.0,0.9364,0.5973,0.6379,0.4623,0.0899,,,,,,,,,,,,,0.9134
6.6,198,,0.1073,0.5635,0.0,0.8705,0.5635,0.6474,0.464,0.1073,,,,,,,,,,,,,0.86
6.633,199,,-0.1631,0.1929,-0.1631,0.6356,0.356,0.5601,0.0965,-0.1631,,,,,,,,,,,,,0.4274
6.667,200,,0.0,0.3327,0.0,0.5518,0.3327,0.603,0.3327,0.0,,,,,,,,,,,,,0.423
6.7,201,,-0.0,0.339,-0.0,0.566,0.339,0.5989,0.339,-0.0,,,,,,,,,,,,,0.4209
6.733,202,,0.0,0.351,0.0,0.5932,0.351,0.5918,0.351,0.0,,,,,,,,,,,,,0.4149
6.767,203,,-0.0,0.3756,-0.0,0.6457,0.3756,0.5817,0.3756,-0.0,,,,,,,,,,,,,0.4047
6.8,204,,0.0,0.3933,0.0,0.687,0.3933,0.5725,0.3933,0.0,,,,,,,,,,,,,0.421
6.833,205,,0.0,0.4124,0.0,0.7294,0.4124,0.5654,0.4124,0.0,,,,,,,,,,,,,0.4433
6.867,206,,0.0,0.4296,0.0,0.7669,0.4296,0.5602,0.4296,0.0,,,,,,,,,,,,,0.4799
6.9,207,,0.0,0.4384,0.0,0.7878,0.4384,0.5565,0.4384,0.0,,,,,,,,,,,,,0.5061
6.933,208,,0.0,0.4426,0.0,0.7985,0.4426,0.5544,0.4426,0.0,,,,,,,,,,,,,0.5211
6.967,209,,0.0,0.4554,0.0,0.8211,0.4554,0.5546,0.4554,0.0,,,,,,,,,,,,,0.5694
7.0,210,,0.6357,0.9875,0.0,1.7304,0.9875,0.5707,0.9875,0.6357,,,,0.0,,,,,,,,,0.8783
7.033,211,,0.6339,0.9875,0.0,1.729,0.9875,0.5711,0.9875,0.6339,,,,0.0,,,,,,,,,0.9078
7.067,212,,0.6311,0.9876,0.0,1.7282,0.9876,0.5714,0.9876,0.6311,,,,0.0,,,,,,,,,0.9461
7.1,213,,0.0,0.4754,0.0,0.8501,0.4754,0.5592,0.4754,0.0,,,,,,,,,,,,,0.6944
7.133,214,,0.0,0.4764,0.0,0.8473,0.4764,0.5622,0.4764,0.0,,,,,,,,,,,,,0.7365
7.167,215,,0.0,0.4789,0.0,0.8483,0.4789,0.5645,0.4789,0.0,,,,,,,,,,,,,0.7774
7.2,216,,0.0,0.4801,0.0,0.8473,0.4801,0.5667,0.4801,0.0,,,,,,,,,,,,,0.8142
7.233,217,,0.0,0.4802,0.0,0.843,0.4802,0.5696,0.4802,0.0,,,,,,,,,,,,,0.8578
7.267,218,,0.0,0.485,0.0,0.8496,0.485,0.5709,0.485,0.0,,,,,,,,,,,,,0.8878
7.3,219,,-0.0008,0.4679,-0.0017,0.9684,0.4695,0.4849,0.4679,-0.0008,,,,,,,,,,,,,0.7382
7.333,220,,0.005,0.4989,0.0,1.035,0.4989,0.482,0.4989,0.005,,,,,,,,,,,,,0.7646
7.367,221,,0.5705,0.9304,0.0,1.614,0.9304,0.5765,0.9304,0.5705,,,,0.0,,,,,,,,,0.7138
7.4,222,,0.5862,0.938,0.0,1.6231,0.938,0.5779,0.938,0.5862,,,,0.0,,,,,,,,,0.7069
7.433,223,,0.6062,0.9536,0.0,1.6468,0.9536,0.5791,0.9536,0.6062,,,,0.0,,,,,,,,,0.6926
7.467,224,,0.6284,0.9703,0.0,1.6742,0.9703,0.5796,0.9703,0.6284,,,,0.0,,,,,,,,,0.6729
7.5,225,,0.6509,0.9863,-0.0,1.6998,0.9863,0.5803,0.9863,0.6509,,,,-0.0,,,,,,,,,0.6757
7.533,226,,0.6683,1.0836,0.0,1.9894,1.0836,0.5447,1.0434,0.6683,,,,0.0,,,,,,,,,0.6805
7.567,227,,0.6853,1.0242,0.0,1.7721,1.0242,0.578,1.0242,0.6853,,,,0.0,,,,,,,,,0.6969
7.6,228,,0.3185,0.8112,-0.3556,2.0849,1.1668,0.5596,0.7937,0.3185,,,,-0.1778,,,,,,,,,0.7458
7.633,229,,0.3334,0.8228,-0.3787,2.1022,1.2015,0.5716,0.8069,0.3334,,,,-0.1755,-0.3787,,,,,,,,0.739
7.667,230,,0.3623,0.8526,-0.3535,2.1396,1.2061,0.5637,0.8368,0.3623,,,,-0.1644,-0.3535,,,,,,,,0.7535
7.7,231,,0.4056,0.8852,-0.3198,2.1638,1.205,0.5569,0.8685,0.4056,,,,-0.1482,-0.3198,,,,,,,,0.7733
7.733,232,,0.4449,0.9142,-0.2914,2.1857,1.2055,0.5516,0.897,0.4449,,,,-0.1351,-0.2914,,,,,,,,0.7958
7.767,233,,0.4778,0.944,-0.2613,2.2312,1.2053,0.5402,0.9265,0.4778,,,,-0.1224,-0.2613,,,,,,,,0.8118
7.8,234,,0.4905,0.9604,-0.2426,2.2762,1.203,0.5285,0.9406,0.4905,,,,-0.1213,-0.2399,,,,,,,,0.8136
7.833,235,,0.4865,0.9617,-0.2604,2.3092,1.2221,0.5292,0.9398,0.4865,,,,-0.1302,-0.2391,,,,,,,,0.8053
7.867,236,,0.3936,1.0785,-0.1136,2.3187,1.1921,0.5141,1.056,0.6472,-0.1136,,,0.0823,-0.0049,1.1696,0.7608,,,,,17.0789,0.8968
7.9,237,,0.2425,1.0957,-0.2729,2.3335,1.3686,0.5865,1.0746,0.6727,-0.1878,,,0.1214,0.0313,1.2624,0.8605,,,,,2.6877,0.9076
7.933,238,,0.2374,1.1008,-0.2893,2.3513,1.3901,0.5912,1.0801,0.6762,-0.2014,,,0.133,0.051,1.2815,0.8776,,,,,1.0421,0.9082
7.967,239,,0.5018,1.269,0.0,2.3866,1.269,0.5317,1.2304,0.8767,0.1269,,,0.3998,0.3604,1.1036,0.7499,,,,,0.1489,0.9187
