feature,upright,sitting,in_bed,on_ground,separability
compactness,0.276,0.438,0.382,0.565,3.511
h_hip,0.869,0.567,0.542,0.361,3.200
floor_spread,5.837,2.470,2.245,1.710,3.139
h_torso,1.155,0.744,0.674,0.521,3.058
h_shoulder,1.443,0.922,0.799,0.651,3.016
h_elbow,1.163,0.665,0.652,0.476,2.917
vertical_extent,1.595,1.087,0.874,0.948,2.817
h_max,1.631,1.052,0.884,0.842,2.798
h_head,1.599,1.024,0.873,0.750,2.718
h_wrist,0.888,0.584,0.562,0.304,2.609
bbox_aspect,2.353,1.627,0.976,0.890,2.598
shoulder_above_hip,0.573,0.355,0.268,0.288,2.397
hip_above_knee,0.414,0.069,0.224,0.092,2.352
torso_tilt,8.066,20.504,30.034,55.031,2.202
head_above_hip,0.732,0.446,0.323,0.401,2.185
knee_angle,174.070,88.589,167.969,119.308,2.054
hip_angle,170.467,104.925,152.274,126.551,1.721
h_min,0.029,-0.035,0.015,-0.134,1.533
knee_above_ankle,0.377,0.430,0.269,0.294,1.384
h_knee,0.459,0.504,0.357,0.357,1.279
h_ankle,0.082,0.076,0.083,0.074,0.904
